№	ДОМА ИЗ БАЗЫ	ДОМА ИЗ ГИС ЖКХ	КОД ГИС-ФИАС	УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ
1	А.ГАДЖИЕВА  18	367014, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 18	a0f2b8e3-acfb-4040-b776-d4fa28067989	ООО «УО -21»
2	А.ГАДЖИЕВА  20	367014, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20	df692d94-aeac-4cf7-90c6-5e6ff44ac9f4	ООО «УО – 21»
3	А.ГАДЖИЕВА  20А	Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20а	e424e935-0484-4c50-8579-de5b311fc4d8	ООО «УО-21»
4	А.ГАДЖИЕВА  20Б	367000, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20Б	cd6e7876-adbc-4c5e-bff4-da5c8842b920	ООО «УО -21»
5	АЙВАЗОВСКОГО   2	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 2	d747594f-d6ae-46ae-b765-c5416f54325f	ООО «УК-16»
6	АЙВАЗОВСКОГО   2А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 2А	2bb315d4-f4e5-43a8-a783-919b497e0e4e	ООО «УК-16»
7	АЙВАЗОВСКОГО   4	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 4	8c7649ca-f568-4a42-85d8-5a904a195c7c	ООО «УК-16»
8	АЙВАЗОВСКОГО   6	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6	593d071f-59c6-46c0-b165-f3d7391f609b	ООО «УК-16»
9	АЙВАЗОВСКОГО   6А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6А	ce98b214-a341-4417-a330-dc631064f23d	ООО «УК-16»
10	АЙВАЗОВСКОГО   6Б	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6Б	2cf5221c-4515-4391-9778-d9fd6eda5e51	ООО «УК-16»
11	АЙВАЗОВСКОГО   8	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 8	e347496f-fdd2-4d51-8357-cd3812d1f422	ООО «УК-16»
12	АЙВАЗОВСКОГО   8А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 8А	adda72d5-5cab-46b6-8db3-946010caa5a5	ООО «УК-16»
13	АЙВАЗОВСКОГО  10	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 10	c6b52b08-633d-4d7b-8c20-b04cda7a2fad	ООО «УК-16»
14	АКУШИНСКОГО   1	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 1	068fcbe4-c76f-4c3a-8cab-fcfec0334417	ООО УО «ЖЭУ-14»
15	АКУШИНСКОГО   3	367027, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 3	aa98034e-cd8a-4b8a-96e7-562697c73fb5	ООО УО ЖЭУ -14 
16	АКУШИНСКОГО   3Б	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 3, к. б	60d29727-b388-468a-b540-bb6dcf14a1b6	ООО УО ЖЭУ -14
17	АКУШИНСКОГО  10	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 10	8598a164-fa30-4bc1-b701-27159f100249	ООО УК -14
18	АКУШИНСКОГО  14	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14	f1b6f478-b70a-4d5f-9004-00a9ae9e8eeb	ООО УК -14
19	АКУШИНСКОГО  14А	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14А	2bb8faa1-d957-434e-b538-66aa082240ef	ООО УК -14
20	АКУШИНСКОГО  14Б	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14, к. б	1f521795-7814-4ac3-8b1a-e11634668abb	ООО УК -14
21	АКУШИНСКОГО  14В	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14В	f925ae82-ca0c-4914-b853-3315eec508a2	ООО УК -14
22	АКУШИНСКОГО  28	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 28	20279e42-e2a8-4c1c-b356-c6f52744f936	ТСЖ «Лига «
23	АКУШИНСКОГО  28Д	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 28Д	4fa3cb4f-e309-4213-bc60-575aa213752f	ТСЖ «Лига»
24	АКУШИНСКОГО  29	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297	fc28066a-ab33-42f2-af6e-b750058feac4	ООО «УК -14»
25	АКУШИНСКОГО  29А	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297Б	7c6c0d0c-91e9-4daf-a04c-2636b7577872	ООО «УК-16»
26	АКУШИНСКОГО  30Г	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 30Г	0330a195-d9c1-4967-be03-6640f03c915d	ТСЖ «Лига»
27	АКУШИНСКОГО  30Д	367000, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 30Д	649f1206-c37d-4312-9c2f-ea4549a81a49	ТСЖ «Лига»
28	АКУШИНСКОГО  31	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297а	5a164161-fad7-40eb-a650-f464beddae4d	ООО «УК-16»
29	АКУШИНСКОГО  55	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 395е	50c8d57b-dd5a-4734-b0c3-cf70d8f4331a	ООО «УК-16»
30	АКУШИНСКОГО  55А	367000, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 395ж	78683a0d-faf6-486f-9d15-e95ea20a24b1	ООО «УК-16»
31	АКУШИНСКОГО  84	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 84	1f7b0175-5c8e-4de1-a482-eed46550149f	ЖСК «Транспортник»
32	АКУШИНСКОГО  84А	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 84А	810dc957-5ff0-44f5-b694-0524a23b7762	ООО УО ЖЭУ -14
33	АКУШИНСКОГО  88	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 9, к. 1	99ab92de-e80c-4829-a3e5-dd5e02174b5b	ТСЖ «Тепло»
34	АКУШИНСКОГО  88А	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 9, к. 2	3b9e1f09-df49-4d13-a14d-0489c4aec02d	ТСЖ «Тепло»ООО УО ЖЭУ -14
35	АКУШИНСКОГО  90Б	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 90Б	cac97025-1581-49c8-a4b1-d8bdc4eb8958	ООО УО ЖЭУ -14
36	АКУШИНСКОГО  92	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 92	eaae38a3-b77e-4424-b018-f205e902d353	ООО УО ЖЭУ -14
37	АКУШИНСКОГО  92А	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 92А	98fa0d7e-3224-4526-a7a7-ad2b70b438bd	ООО «УК-16»
38	АКУШИНСКОГО  92Б	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 92Б	569a6818-cf7b-40be-9aa4-e05af04a8d30	ООО УО ЖЭУ -14
39	АКУШИНСКОГО  92В	367000, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 92В	372ae3ee-e190-41f1-a783-b1a6cf3bd240	ООО УО ЖЭУ -14
40	АКУШИНСКОГО  94	Респ Дагестан, г Махачкала, ул Гаджи Алибегова, д. 80а	4a15ea06-6300-4d21-aa5b-f4fb8e0c271c	ТСЖ «Тепло»
41	АКУШИНСКОГО  94А	Респ Дагестан, г Махачкала, ул Гаджи Алибегова, д. 84	98a6a772-8be8-429e-9d5c-6f4074b13228	ТСЖ «Тепло»
42	АКУШИНСКОГО  94Б	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 94Б	866bfffe-7966-4abc-b1e4-608e531c6d9d	МУП ЖЭУ -15
43	АКУШИНСКОГО  94В	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 13в, к. 2	c571fbc7-ecb5-411b-a545-b648998efa15	Тсж «Тепло»
44	АКУШИНСКОГО  94Г	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 13, к. 1	eb8fdeee-4a39-4cc8-91e4-c03f30e101d0	Тсж «Тепло»
45	АКУШИНСКОГО  94Д	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 13, к. 2	aef605bf-ffda-47cd-9e28-98e0a5205f58	Тсж «Тепло»
46	АКУШИНСКОГО  96Б	367000, Респ Дагестан, г Махачкала, ул Нигматулы Магомедова, д. 83а	5bb8dc96-49aa-461d-9328-a9b51b31362c	Тсж «Тепло»
47	АКУШИНСКОГО  96В	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 96В	a8b00961-4888-442b-b1f1-72d7fc5fe78f	МУП ЖЭУ -15
48	АКУШИНСКОГО  96Е	Респ Дагестан, г Махачкала, ул Нигматулы Магомедова, д. 75, к. 1	138c2d05-bc49-4ca4-9a2d-840cb19827f5	Тсж «Тепло»
49	АКУШИНСКОГО  96Ж	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 11а	5bef064f-8f0d-4a34-9806-37b63d9dbac4	Тсж «Тепло»
50	АКУШИНСКОГО  96З	367000, Респ Дагестан, г Махачкала, ул Нигматулы Магомедова, д. 75, к. 3	c51a5d81-20d8-4a91-853b-d2f0d908e8db	Тсж «Тепло»
51	АКУШИНСКОГО  98	367000, Респ Дагестан, г Махачкала, ул Нигматулы Магомедова, д. 83, к. 2	61f650ed-dae8-46cf-bbc8-5ad129af30d3	Тсж «Тепло»
52	АКУШИНСКОГО ЛИН 7   1Б	367009, Респ Дагестан, г Махачкала, ул Шабанова, д. 72	6f29e9f9-9ee1-4a50-b954-c8e8bc7044ff	Тсж «Лига»
53	АКУШИНСКОГО ЛИН 7  48	367014, Респ Дагестан, г Махачкала, проезд Мирзаева 2-й, д. 20	eac8f7ce-6fde-4ff1-a638-02ac2aea265c	ООО «УК-16»
54	АМЕТ-ХАН  СУЛТАНА   1	Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 19а, к. 1	89d0d6b1-dc01-423f-830b-72a0a00ef5b2	"ТСЖ ""СОЮЗ"""
55	АМЕТ-ХАН  СУЛТАНА   3	Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 19а, к. 2	583c927f-a050-4682-80ae-d4449ef1daae	"ТСЖ ""СОЮЗ"""
56	АМЕТ-ХАН  СУЛТАНА   5	Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 19а, к. 3	51cf1c71-f1ef-4c61-ae68-9694e03b17f6	"ТСЖ ""СОЮЗ"""
57	АМЕТ-ХАН  СУЛТАНА  12	367000, Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 12	506725f1-de01-4406-a98f-a7ce0f361b9d	"ООО ""УО-11"""
58	АМЕТ-ХАН  СУЛТАНА  14	367000, Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 14	75f97855-c759-4fbd-bd57-225a8a71784f	"ООО ""УО-11"""
59	АМЕТ-ХАН  СУЛТАНА 14В (30 ЛС)	367000, Респ Дагестан, г Махачкала, пр-кт Амет-хана Султана, д. 14в	b68e1316-504b-41dd-9ea5-38267ae8070e	СВЕДЕНИЯ ОТСУТСТВУЮТ 
60	БЕЙБУЛАТОВА  18А	367004, Респ Дагестан, г Махачкала, ул Бейбулатова, д. 18А	186814fa-89aa-473b-8f03-faacaab62ecf	МУП ЖЭУ -3
61	БЕЙБУЛАТОВА,  корп.2А  15	367004, Респ Дагестан, г Махачкала, ул Бейбулатова, д. 15А, к. 3	431d7ed1-a79c-4bb6-838f-c3b5662d9541	МУП ЖЭУ -4
62	БЕЙБУЛАТОВА,  корп.3А  15	367004, Респ Дагестан, г Махачкала, ул Бейбулатова, д. 15А, к. 1	84248169-4880-4742-8be5-d64bea534440	МУП ЖЭУ -5
63	БЕЙБУЛАТОВА, корп.1А  15А	367004, Респ Дагестан, г Махачкала, ул Бейбулатова, д. 15А, к. 2	f5988df4-4bf8-47f8-a48d-46a21f7dc408	МУП ЖЭУ -6
64	БУЙНАКСКОГО   6	367000, Респ Дагестан, г Махачкала, ул Буйнакского, д. 6	8215c89e-8467-465c-b0a0-168b0b8bf24f	МУП ЖЭУ -7
65	БУЙНАКСКОГО   7	367000, Респ Дагестан, г Махачкала, ул Буйнакского, д. 7	32dc4436-572a-4ea6-bce9-316aeae95524	"ООО ""УО-21"""
66	БУЙНАКСКОГО   7А	Респ Дагестан, г Махачкала, ул Буйнакского, д. 7а	c3ba6eea-2dd3-4aa9-b564-47c719585a89	ЧАСТНЫЙ ДОМ 
67	БУЙНАКСКОГО   9 (3 ЛС)	НЕ ПОСТАВЛЯЮТСЯ РЕСУРСЫ 	3 ЛС	НЕ ПОСТАВЛЯЮТСЯ 
68	БУЙНАКСКОГО  63	367000, Респ Дагестан, г Махачкала, ул Буйнакского, д. 63	1dd67811-b898-4d55-aa36-4c0062d31be6	"ООО ""УК-3"""
69	БУЙНАКСКОГО  63А	367000, Респ Дагестан, г Махачкала, ул Буйнакского, д. 63А	a13237ca-54a2-4190-a790-f93e3654fb45	"ООО ""УК-3"""
70	ГАГАРИНА  31А	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 31А	082e2ae9-8b02-4817-9e76-09a11e823db3	"ООО УО ""АЛЬФА-М"""
71	ГАГАРИНА  48	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 48	6ecd0c9e-a800-4233-8b69-4b3474894b80	"ООО ""УО-2"""
72	ГАГАРИНА  50	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 50	3d090b23-5c56-4a1b-8416-96568ff6ef2e	"ООО ""УО-2"""
73	ГАГАРИНА  54	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 54	39a3260d-aa81-4582-a353-c6c6e61f5d88	"ООО УО ""АЛЬФА-М"""
74	ГАГАРИНА  54А	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 54А	53c2d871-d7f6-4b59-896d-ec8a6de1992a	"ООО УО ""АЛЬФА-М"""
75	ГАГАРИНА  54Б	367010, Респ Дагестан, г Махачкала, ул Гагарина, д. 54Б	d0a1b149-1013-4ae3-ab9e-95bbef7c8934	"ООО ""УО-2"""
76	ГАЙДАРА   1А	367010, Респ Дагестан, г Махачкала, ул Гайдара, д. 1А	43103127-4e3e-4700-b372-d52131e7e126	МУП ЖЭУ -3
77	ГАМИДОВА  42	367010, Респ Дагестан, г Махачкала, пр-кт Гамидова, д. 42	408cd920-3373-44f5-9d94-f33cdc902a2f	"ООО УО ""АЛЬФА-М"""
78	ГАМИДОВА  81	367010, Респ Дагестан, г Махачкала, пр-кт Гамидова, д. 81	20d2cabf-f846-4895-8801-f020f13a10f2	ТСЖ «СТАРТ »
79	ДАНИЯЛОВА   4	367000, Респ Дагестан, г Махачкала, ул Даниялова, д. 4	85e2b4c1-5c31-4d2d-a8d4-8fe2ee6244f8	"ТСЖ ""ПОРЯДОК"""
80	ДАНИЯЛОВА   6	367000, Респ Дагестан, г Махачкала, ул Даниялова, д. 6	18f3c511-1c60-4fd1-8278-61d9358cab5d	"ООО ""УК-3"""
81	ДАХАДАЕВА   3	367000, Респ Дагестан, г Махачкала, ул Дахадаева, д. 3	aca7f74a-ffaf-41ac-bf2e-04ffba6ba88a	"ООО ""УО-21"""
82	ДАХАДАЕВА   5	367000, Респ Дагестан, г Махачкала, ул Дахадаева, д. 5	54d0fbfb-69eb-4edc-b184-330707e74529	"ТСЖ ""СОГЛАСИЕ """
83	ДАХАДАЕВА  22	367000, Респ Дагестан, г Махачкала, ул Дахадаева, д. 22	7096007c-0d5d-4cf0-b4e2-a4d43f05292e	"ТСЖ ""ДВОРЯНЕ """
84	ДАХАДАЕВА  44	367000, Респ Дагестан, г Махачкала, ул Дахадаева, д. 44	54963b25-7303-407e-8df1-23f68977897c	"ООО ""УО-21"""
85	ДЗЕРЖИНСКОГО  14	367000, Респ Дагестан, г Махачкала, ул Дзержинского, д. 14	d15020da-6b5c-47a5-a370-04688cd6816b	УК - 22
86	ЖУРАВЛЕВА   4	367032, Респ Дагестан, г Махачкала, ул Журавлева, д. 4	93d3df10-b619-49a9-852d-d4e397e0b6a2	"ООО ""УК-3"""
87	ЗАМАНОВА   1	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 1	0e60af77-c777-4a82-b8b0-5af3264521a3	"ООО ""УК-3"""
88	ЗАМАНОВА   3	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 3	677b2952-c478-4bec-9149-3a15091a2760	"ТСЖ ""КРАСНОФЛОТСКАЯ"""
89	ЗАМАНОВА  24	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 24	17ffc57d-d859-4e6e-b0c8-cf9795081d2a	"ООО ""УК-3"""
90	ЗАМАНОВА  43А	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 43А	c00bbce3-ad20-4c8d-8cfe-3c5b3c67955e	"ООО ""УК-3"""
91	ЗАМАНОВА  43Б	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 43Б	5ea03867-1bdc-4914-b8db-3491c34b1545	"ООО ""УК-3"""
92	ЗАМАНОВА  47Б	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46в	5db54af0-88c3-49c0-b8d2-4b592eb90646	"ООО ""УК-3"""
93	ЗАМАНОВА  47В	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46б	26ee4a03-4a9f-4b49-8738-e87ef4bc5f3c	"ООО ""УК-3"""
94	ЗАМАНОВА  47Д	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 49б	1884d412-4399-4df9-9471-fff86903fc8d	"ООО ""УК-3"""
95	ЗАМАНОВА  47И	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46а	30c44f2a-a8bb-4133-8fb7-216fe868615f	"ООО ""УК-3"""
96	ЗАМАНОВА  47Л	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 49А	ce894f5e-3445-4e47-b5d7-02e5ddd47675	"ООО ""УК-3"""
97	ИРЧИ КАЗАКА  43	367030, Респ Дагестан, г Махачкала, ул Ирчи Казака, д. 43	97a737d2-6af7-402f-a27f-d836349e1495	"ООО ""УО-9"""
98	КЕРИМОВА КОРП 1   5	367009, Респ Дагестан, г Махачкала, ул Керимова, д. 5, к. 1	7792289b-f500-42f7-90f4-e4edc27e0719	"ООО ""УК-15"""
